Time,Tensao_Inversor
0.0094,-99.99646294046187
0.00945,-99.99646147556359
0.0095,-99.99646003291821
0.00955,-99.99645860613873
0.0096,-99.99645719071242
0.00965,-99.99645578633141
0.0097,-99.99645439536044
0.00970128,-99.99645436003698
0.00970128,-99.99645436003698
0.00975,-99.99645306758691
0.0098,-99.99645171732254
0.00985,-99.99645038108343
0.0098539,-99.99645027750387
0.0098539,-99.99645027758868
0.0098539,-99.99599820580008
0.0098539,-99.99599820580008
0.0099,-0.0008306953085366331
0.00995,-0.0008814974898427863
0.01,-0.0009318486792153635
0.0100073,-0.0009391551123485442
0.0100073,-0.0009391551456587877
0.0100073,-0.001351486905036836
0.0100073,-0.001351486905036836
0.01005,-99.9966036520118
0.0101,-99.99660096970211
0.0101492,-99.99659834572543
0.0101492,-99.99659834573919
0.0101492,-99.99614801152595
0.0101492,-99.99614801152595
0.01015,-2.579179589594787
0.0102,-0.000982192662718262
0.01025,-0.001031651754828999
0.0103,-0.001080671025363245
0.0103008,-0.001081420132379662
0.0103008,-0.001081420179900761
0.0103008,-0.00147170277494979
0.0103008,-0.00147170277494979
0.01035,-99.99674432131121
0.0104,-99.99674039560347
0.0104343,-99.99673771070223
0.0104343,-99.99673771071599
0.0104343,-99.99628942214818
0.0104343,-99.99628942214818
0.01045,-0.001086184894461439
0.0105,-0.00113471042357105
0.01055,-0.001182811283285901
0.0105841,-0.001215325669079448
0.0105841,-0.00121532562422999
0.0105841,-0.001588284789420413
0.0105841,-0.001588284789420413
0.0106,-99.99688048358996
0.01065,-99.99687534928762
0.0107,-99.99687025157419
0.0107109,-99.99686914467475
0.0107109,-99.99686914465292
0.0107109,-99.99642281769465
0.0107109,-99.99642281769465
0.01075,-0.001239504307648076
0.0108,-0.001286667019371635
0.01085,-0.001333413377210491
0.0108588,-0.001341631715490621
0.0108588,-0.001341631763068563
0.0108588,-0.001700603411222801
0.0108588,-0.001700603411222801
0.0109,-99.99700326760859
0.01095,-99.99699702596502
0.0109802,-99.99699328864591
0.0109802,-99.99699328864546
0.0109802,-99.9965491418987
0.0109802,-99.9965491418987
0.011,-0.001344923470696813
0.01105,-0.001391145147863426
0.0111,-0.001436958440592662
0.0111263,-0.001460938313925908
0.0111263,-0.001460938372133569
0.0111263,-0.001808463233601287
0.0111263,-0.001808463233601287
0.01115,-99.99712425028167
0.0112,-99.99711694258036
0.0112431,-99.99711068439973
0.0112431,-99.99711068447209
0.0112431,-99.99666867030746
0.0112431,-99.99666867030746
0.01125,-0.001453964651034312
0.0113,-0.00149543969575916
0.01135,-0.001540320791264094
0.0113875,-0.00157375422389805
0.0113875,-0.001573754209232447
0.0113875,-0.001911795542071104
0.0113875,-0.001911795542071104
0.0114,-99.99723849060661
0.01145,-99.99723013071707
0.0115,-99.99722185665325
0.0115001,-99.99722184369796
0.0115001,-99.99722184369796
0.0115004,-99.99722178903079
0.0115004,-99.99722178899799
0.0115004,-99.99678203709175
0.0115004,-99.99678203709175
0.01155,-0.001598945688385811
0.0115603,-0.001608008989421705
0.0115603,-0.001608008989421705
0.0116,-0.001642892084703362
0.0116432,-0.001680523261427425
0.0116432,-0.001680523231982534
0.0116432,-0.002010742626112005
0.0116432,-0.002010742626112005
0.0116444,-99.7560562716651
0.0116444,-99.75605627166505
0.01165,-99.99734684563555
0.0117,-99.99733674776905
0.01175,-99.99732751338831
0.0117528,-99.99732700205192
0.0117528,-99.99732700208344
0.0117528,-99.99688950149402
0.0117528,-99.99688950149402
0.0118,-0.001701171745992269
0.01185,-0.001744200384678152
0.0118939,-0.001781623227032014
0.0118939,-0.001781623253293674
0.0118939,-0.002105357722825829
0.0118939,-0.002105357722825829
0.0119,-99.99745431202865
0.01195,-99.99743694612494
0.012,-99.99742681124201
0.0120006,-99.99742668087009
0.0120006,-99.99742668090516
0.0120006,-99.99699160088261
0.0120006,-99.99699160088261
0.01205,-0.001801805855279781
0.0121,-0.001843922253954133
0.0121401,-0.001877397098496658
0.0121401,-0.001877397057228336
0.0121401,-0.002195648467363753
0.0121401,-0.002195648467363753
0.01215,-99.99754220257006
0.0122,-99.99753091030738
0.0122444,-99.99752113707171
0.0122444,-99.99752113708902
0.0122444,-99.99708858961486
0.0122444,-99.99708858961486
0.01225,-0.001870831535768502
0.0123,-0.001900553129019045
0.01235,-0.001941770912139873
0.0123822,-0.001968140707560906
0.0123822,-0.00196814062366002
0.0123822,-0.002281872413504971
0.0123822,-0.002281872413504971
0.0124,-99.99763070711657
0.01245,-99.99761880935415
0.0124845,-99.9976106514078
0.0124845,-99.99761065139313
0.0124845,-99.99718061234088
0.0124845,-99.99718061234088
0.0125,-0.001956508651460354
0.01255,-0.001997195493459003
0.0126,-0.002037533883139986
0.0126207,-0.002054125181359723
0.0126207,-0.002054125164931975
0.0126207,-0.002364128140186494
0.0126207,-0.002364128140186494
0.01265,-99.99771344233585
0.0127,-99.99770081827893
0.0127212,-99.99769547695763
0.0127212,-99.99769547695718
0.0127212,-99.99726802113989
0.0127212,-99.99726802113989
0.01275,-0.00205173738851272
0.0128,-0.002091571843891415
0.01285,-0.002131046051658814
0.0128558,-0.002135585639848614
0.0128558,-0.00213558566605343
0.0128558,-0.002442588673034152
0.0128558,-0.002442588673034152
0.0129,-99.99779048686804
0.01295,-99.99777712050729
0.0129548,-99.9977758453262
0.0129548,-99.99777584524048
0.0129548,-99.99735102039241
0.0129548,-99.99735102039241
0.013,-0.002144577230410505
0.01305,-0.002183557423563798
0.0130877,-0.002212746233396956
0.0130877,-0.002212746216969208
0.0130877,-0.002517384310351645
0.0130877,-0.002517384310351645
0.0131,-99.99787609132858
0.01315,-99.99786192401001
0.0131855,-99.99785196441019
0.0131855,-99.99785196444526
0.0131855,-99.997429850744
0.0131855,-99.997429850744
0.0132,-0.002196440308409819
0.01325,-0.002234908467983132
0.0133,-0.002273055257603573
0.0133168,-0.002285804868790819
0.0133168,-0.002285804951895898
0.0133168,-0.002588553285818307
0.0133168,-0.002588553285818307
0.01335,-99.99794272886527
0.0134,-99.99792796955217
0.0134134,-99.99792402475481
0.0134134,-99.99792402485383
0.0134134,-99.99750461124339
0.0134134,-99.99750461124339
0.01345,-0.002284985965843589
0.0135,-0.002322659767628465
0.0135432,-0.002354942671388471
0.0135432,-0.00235494261949043
0.0135432,-0.002656284021895772
0.0135432,-0.002656284021895772
0.01355,-99.99802407681688
0.0136,-99.99800415757284
0.0136389,-99.9979922010744
0.0136389,-99.99799220098868
0.0136389,-99.99757572180604
0.0136389,-99.99757572180604
0.01365,-0.002333976334796262
0.0137,-0.002370904176189015
0.01375,-0.002407779293093881
0.0137671,-0.002420326274318541
0.0137671,-0.002420326279263918
0.0137671,-0.002720870907467088
0.0137671,-0.002720870907467088
0.0138,-99.99807650808776
0.01385,-99.99806049247417
0.013862,-99.99805665165667
0.013862,-99.99805665167042
0.013862,-99.99764304882163
0.013862,-99.99764304882163
0.0139,-0.002417712138139905
0.01395,-0.002454134440085909
0.0139887,-0.00248210574920904
0.0139887,-0.002482105725675865
0.0139887,-0.00278219702761362
0.0139887,-0.00278219702761362
0.014,-99.99814517465592
0.01405,-99.99812846177946
0.014083,-99.99811752408112
0.014083,-99.99811752409488
0.014083,-99.99770684331045
0.014083,-99.99770684331045
0.0141,-0.002463004419837489
0.01415,-0.002498986420334859
0.0142,-0.002534645326477403
0.0142081,-0.002540422372987905
0.0142081,-0.002540422377876439
0.0142081,-0.002840437964380271
0.0142081,-0.002840437964380271
0.01425,-99.9981927762941
0.0143,-99.99817563123958
0.014302,-99.99817495116065
0.014302,-99.99817495108914
0.014302,-99.99776724328652
0.014302,-99.99776724328652
0.01435,-0.002542272894856978
0.0144,-0.002577507358182629
0.0144256,-0.002595401576513723
0.0144256,-0.002595401581402257
0.0144256,-0.002895794892424419
0.0144256,-0.002895794892424419
0.01445,-99.99825347687528
0.0145,-99.99823577938292
0.0145191,-99.99822905487969
0.0145191,-99.99822905482239
0.0145191,-99.99782450602171
0.0145191,-99.99782450602171
0.01455,-0.00258393401423973
0.0146,-0.002618756961680901
0.0146411,-0.002647159218895467
0.0146411,-0.002647159110097164
0.0146411,-0.002948159736206435
